userName,score,content,at,intent
Cuteanomaly,5,saya mendownload tik tok ini tidak bisa buat chat di Tik tok tolong perbaiki kesalahan ini makasih,2026-02-18 08:59:58,General Request/Complaint
Khaerul Azzam,1,bagus sih,2026-02-18 08:58:03,Praise & Gratitude
Rezi Fahreza,5,well,2026-02-18 08:55:23,Praise & Gratitude
Azmi Alghifari,2,kenapa yh aku ga bisa nge download lagi tiktok padahal aku butuh bngt buat belanja,2026-02-18 08:55:13,Performance Issue
Fan Owa,4,asik banget kalo nonton soalnya dapat film gratis tanpa internet tapi mines nya sering keluar dari aplikasihnya,2026-02-18 08:52:58,Praise & Gratitude
Bianyo,1,bug tidak bisa masuk ke aplikasi tolong di perbaiki,2026-02-18 08:52:02,Technical Bug/Crash
Ulun nuha s,5,lebih bagus lagi fiturnya,2026-02-18 08:51:42,Performance Issue
Peri Peri irawan,1,tidak enak akun aku blokir terus,2026-02-18 08:50:57,Account Issue
SLS RTW,5,akun aku sering kebelokir,2026-02-18 08:50:15,Account Issue
Putri Hiyango,1,Ini tolong tik tok di perbaiki saya setiap buka tik tok sering kembali sendiri kadang tik tok sya jg gbisa di buka,2026-02-18 08:50:01,Technical Bug/Crash
Abd Rahim,5,bagus banget cok,2026-02-18 08:46:26,Praise & Gratitude
Boyor Nih,4,lagi scrol tiktok tiba tiba ke apus sendiri apl tik tok nya zzzz,2026-02-18 08:43:50,Performance Issue
Sanahh 234,5,udh bagus bgt sih viturnya tpi bugnya anjir padahal aku pengen lihat live gwsm!,2026-02-18 08:42:40,Technical Bug/Crash
Moh Faiq Ghafur Pmk,5,Bagus sekali Saya Akan Menggunakan aplikasi ini juga,2026-02-18 08:42:00,Praise & Gratitude
welly edy prabowo,5,Aplikasi nya bagus banget,2026-02-18 08:41:35,Praise & Gratitude
karin keithara,1,"aneh, padahal jaringan baik' aja tapi lemot, vidionya si bisa di tonton tapi komen . . padahal buka apk lain aman' aja toh, udah 3 hari begini. udah di apus cache, hapus akun tetep aja tuh lemot",2026-02-18 08:38:15,Account Issue
Siti Mahmudah,5,bagus,2026-02-18 08:36:52,Praise & Gratitude
Asbi 123,5,karna jelek,2026-02-18 08:36:21,General Request/Complaint
Fhatien Al fatunisa,1,"tiktok taaiii setiap mau liat produk kembali sendiri setiap mau cekout balik lagi GK bisa di buka eroro terus gila lama""tiktok fitur nya kek taiii",2026-02-18 08:35:32,Technical Bug/Crash
Keyla Az-zahra,4,"lumayan lah ya,tpi suka nge bug tiba'",2026-02-18 08:35:16,Technical Bug/Crash
Talita Regina,1,knp abis di update ga bisa memposting ulang vd?,2026-02-18 08:34:41,Feature Complaint/Request
arzel espargaro,5,baguss tapi kenapa tidak ada di layar beranda saya😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,2026-02-18 08:34:23,Praise & Gratitude
ARI YULIANTO,5,apk nya sangat bagus klo bisa diupdate lagi trima kasih,2026-02-18 08:33:45,Performance Issue
Muhmmd Reza,1,"udh lama download tiktok tapi kenapa lihat komenan gabisa dan yg lainnya juga gabisa, bisa nya cuman scroll video doang aneh, katanya ga ada koneksi internet lah padahal saya punya paketan internet, tolong dong",2026-02-18 08:33:02,Feature Complaint/Request
Nabila Panu,3,tik tok tidak bisa di instal katanya harus hapus aplikasi yang pas saya sudah hapus tidak bisa lagi.TOLONG DI PERBAIKI LAGI,2026-02-18 08:32:11,Performance Issue
Kenan Razka,5,aku sih agak ada kecewa video aku gk fyppp itu aja sih,2026-02-18 08:32:02,General Request/Complaint
valerie gracee,1,tidak suka batasin umur ny.,2026-02-18 08:30:38,Praise & Gratitude
Latiffa Lutfiana,3,menarik tapi sedikit ngelag,2026-02-18 08:25:23,Performance Issue
Faiz Hamdani,3,ngeleg tapi seru,2026-02-18 08:24:33,Performance Issue
Oppo A15,5,apply udah bagus banget,2026-02-18 08:23:58,Praise & Gratitude
Fitri Yanti,3,saya sering buka tiktok tapi tidak bisa bikin akun,2026-02-18 08:23:55,Account Issue
Ramdani Aditya,5,Wih skrng jdi bgs fitur tiktok nya sesudah di update jadi mantap betull nih tiktok,2026-02-18 08:23:25,Feature Complaint/Request
Yose Rizal,4,mantap,2026-02-18 08:21:36,Praise & Gratitude
Agus Pp,5,Baguss bang,2026-02-18 08:20:28,Praise & Gratitude
Fatma Kasih,1,tidak bisa masuk ke tiktok,2026-02-18 08:19:52,Account Issue
Marko Antonio Ginting,1,"Saya sudah lapor ke CS dan akun saya tetap di blokir tanpa penjelasan yang jelas, saya merasa tidak pernah melanggar peraturan dari tiktok tapi akun saya tetap di blokir, emang aneh ni aplikasi, easy bintang 1",2026-02-18 08:18:58,Account Issue
Dewi Uuy,5,sangat asik,2026-02-18 08:17:26,Praise & Gratitude
Kiki Julianto,3,"kadang"" apk nya tiba"" lag sendiri padahal kalo buka apk lain aman aja",2026-02-18 08:14:16,Performance Issue
Ha Mida,4,"tapi kenapa punya saya kayak agak lambat untuk fitur "" baru ya gak ke apdute gitu kenapa ya",2026-02-18 08:11:50,Feature Complaint/Request
Andri Desvianto,5,sangat bagus carakerjanya meski bnyk iklan,2026-02-18 08:11:05,Praise & Gratitude
Sampit Spt2024,2,sekarang banyak iklan nya tt shop nya sampe berpengaruh ke apk lain,2026-02-18 08:09:27,Feature Complaint/Request
Noval Ardiansyah,5,mantap semakin ok dintiktok,2026-02-18 08:06:57,Praise & Gratitude
bima Putra,1,"Apalah masak mau masuk tik tok keluar sendiri belum juga lihat video nya tiba² keluar sendiri tolong lah perbaiki bug seperti ini, masa mau lihat video tiba² keluar sendiri, sudah ngehabisi memori, keluar sendiri pula, 2 GB lebih loh apknya, perbaiki lah kek mana ini developer nya, terus kalau bisa setiap masuk toktok ini gak usah ada iklan bngst",2026-02-18 08:06:03,Technical Bug/Crash
Ridho Alamsyah,1,Kenapa di hp vivo y17s tidak ada fitur foto live di tiktok padahal di kamera hp ada fitur foto live😭,2026-02-18 08:01:42,Feature Complaint/Request
jihan jihan lestari,2,kenapa tidak ada toko dan posting ulang pdhal sudah di update,2026-02-18 08:00:14,Feature Complaint/Request
Dewi Ratnasari,1,kenapa tiktok hanya komentar dan pengaturan g bisa dibuka sudah 4 hari ..walaupun hanya scol² itu untuk belanja..tlng diperbaiki biar bisa belanja di tiktok,2026-02-18 07:57:31,Feature Complaint/Request
Vano Superhero,4,"dear admin, pengen bisa hastag banyak lagi",2026-02-18 07:56:28,Performance Issue
RANGGA Saputra,1,"kenapa ya saldo refund barang saya tidak bisa di ambil walau sudah tanggal 18. Mohon lah tiktok itu dana saya bukan dana anda, katanya ada pemeliharaan sistem, bohong mana ada pemeliharaan sistem selama ini.",2026-02-18 07:53:07,Monetization/Earning
Risma Noviani,1,"habis di update malah keluar"" sendiri ga bisa di buka + GAUSA MENGADAKAN EVENT POTONG HARGA KALO POTONGAN NYA SAJA KECIL AND TIDAK MASUK AKAL",2026-02-18 07:46:18,Account Issue
Maida Nafisah mumtazah,5,tiktok bagus tapi gk bisa ngakunin tiktok nya,2026-02-18 07:45:55,Account Issue
Erna Wulan,5,seru bangett ada tiktok pokoknya is debes👍🏻,2026-02-18 07:44:07,Praise & Gratitude
Ramli Ramsi,5,mantap,2026-02-18 07:43:05,Praise & Gratitude
St masruroh Masruroh,5,aku punya akun yang bernama the king azzzam,2026-02-18 07:42:54,Account Issue
Vivo Y01,5,Bagus,2026-02-18 07:42:39,Praise & Gratitude
Elip Lip,3,"bagus,cuma saya ga bisa pesan streak",2026-02-18 07:42:21,Praise & Gratitude
Fikri Ahmad tamamul,5,mantap,2026-02-18 07:38:49,Praise & Gratitude
nani setyani,2,aplikasi nya ngecrash mulu tolong min diperbaiki lagi,2026-02-18 07:37:12,Performance Issue
Evis Dinalorenza Depriani 28,4,"Aplikasi nya bikin kesal,awal nya digunakan gak ada lelet2 tapi sekarang lelet nya minta ampun!!! padahal udh perbarui apk,gimana sih pihak tiktok😴😴. kalau masalah jringn gpplh ini indk jringn ok2 aja TPI apk nya ttp lelet!!!. semoga cepat diperbaiki...",2026-02-18 07:33:29,Performance Issue
Rifki Ulala,3,"min kenapa tiktok shop ku hilang ya padahal umur udah sesuai, followers udah, update juga udah, tolong di tindak lanjuti ya 🙏🏻🙏🏻",2026-02-18 07:32:43,Feature Complaint/Request
Nazar Usman,5,aplikasi ini sanggat bagus,2026-02-18 07:30:01,Praise & Gratitude
nurfatin nabila,1,"sering keluar sendiri gajelas bikin gamood, gatau kenapa habis di update mala makin gajelas apknya.",2026-02-18 07:28:23,Technical Bug/Crash
Fitri,3,"aplikasi nya bagus, baik, dan nyaman digunakan, tetapi kurang suka sama respon nya, aplikasi ini banyak salah paham nya hanya karna membahas masalalu tentang SD malah terkena pembatasan usia. saya meminta untuk SEGERAH diproses tetapi responya kurang cepat💔",2026-02-18 07:28:10,Praise & Gratitude
Maria Melisa,1,"Suka lag, keluar aplikasi sendiri, kadang gabisa dibuka sama sekali tolong diperbaiki ya",2026-02-18 07:23:13,Performance Issue
faiz ahmadxb,1,"gw gk bisa uninstall ni aplikasi njir, habis di uninstall pasti balik install lagi 😂 gitu terus",2026-02-18 07:21:52,Performance Issue
Anisah Safitri,5,min tolong tambahin fitur menonton video& dibayar dongg,2026-02-18 07:20:04,Feature Complaint/Request
Rifki Prawiranegara,5,mantap,2026-02-18 07:16:15,Praise & Gratitude
Tsuroyatul Usroti D,3,"kenapa ya,, setiap mau buka komentar selalu loading, pdhl kan sinyal bagus, soalnya buat main game pun lancar"" aja",2026-02-18 07:15:45,Performance Issue
syariat islam pemuda hijrah,5,bagus sekali,2026-02-18 07:12:58,Praise & Gratitude
Olive Olive,5,"bagus, tetapi suka sekali keluar keluar sendiri kenapa ya",2026-02-18 07:04:51,Technical Bug/Crash
Dipta Susanto,5,tiktok ini bagus banget untuk nonton drama pendek/dan juga bisa nonton dll,2026-02-18 06:59:42,Praise & Gratitude
Naza Sirait09,5,ini mah apk paling saya suka sekali gak pelu di tnya kalau kekurangan nya apa sama kamu ???? pingin fypppp,2026-02-18 06:58:52,Praise & Gratitude
Kaizan Aska,4,woi tiktok kenapa fitur kirim foto punya saya dihilangkan,2026-02-18 06:56:37,Feature Complaint/Request
Linddy,1,"kenapa gabisa buka komentar si? ga cuma komentar buka profil tiktok aja gabisa! loading Mulu pdhl wifi gk knp², udh di pakein paket data jga tetep gbsa",2026-02-18 06:51:03,Performance Issue
Ayla Ayla,5,bagusssss bngett plcccc,2026-02-18 06:49:26,Praise & Gratitude
Dedi Supriyadi,5,aplikasi yang sangat populer di seluruh dunia🥰,2026-02-18 06:48:43,Praise & Gratitude
Amrullah Paembonan,5,mantappp,2026-02-18 06:44:37,Praise & Gratitude
Garta . M,5,aku suka,2026-02-18 06:39:22,Praise & Gratitude
Azi S,4,bagus,2026-02-18 06:38:17,Praise & Gratitude
Nando Rahawarin,5,apk ini sangat baguss,2026-02-18 06:37:39,Praise & Gratitude
Bakti,5,tiktok nya bagus banget anjir,2026-02-18 06:34:48,Praise & Gratitude
Hasniati Spdi,5,makasih bgt tiktok saya makin suka dan seru 😀 semoga sukses selalu semuanya 🤲🏻 dan sehat selalu 😅,2026-02-18 06:32:57,Praise & Gratitude
Novita harahap,5,tiktok ini sangat bagus karena ada banyak filem ada filem apa aja tapi aku mohon tiktok jangn bolk akun ku lagi ya,2026-02-18 06:27:44,Account Issue
halo gatau,1,keluar sendiri force close terus anjg,2026-02-18 06:23:53,Technical Bug/Crash
Salu Rahayu,3,ini kenapa gak ada fitur toko nya weei,2026-02-18 06:13:08,Feature Complaint/Request
Mecca Coll12,3,tolong play store tik tok ku kok ga bisa buat posting ulang ya jelek lgi gmna ya..,2026-02-18 06:10:06,General Request/Complaint
Runa Sky,1,apaaan cok lagi di apk lain lagi iklan tiba tiba banget masuk tiktok anjirrr ngeselin kali lah,2026-02-18 06:06:50,Account Issue
Inayah Sayangku,1,terblokir terus akun ku nabule,2026-02-18 06:04:43,Account Issue
Rosiana Prameishela,2,yg aku udh updt taoi ko ga ada fitur shop nya,2026-02-18 05:58:47,Feature Complaint/Request
Resty maiarif,1,"tolong dong suka bgt keluar sndiri pdhl memo juga masih bnya, udh hps data berkali kali ttp gt aja, hrs didownload ulang baru bisa normal lagi, nanti seminggu lgi, blik ky gt lgi, muak bgt",2026-02-18 05:49:23,Performance Issue
iaa Ndrynii,1,gak ada shop buat belanjanya,2026-02-18 05:42:43,Feature Complaint/Request
Helma Dina,1,"tolong di perbaiki lagi sering banget ngebug pas makai apk ini padahal udh ada dari tahun bowo si raja tik tok, tapi makin ke sini makin parah dari masalah gaada jaringan pdhl udh pakai wifi udah beli kouta juga 100gb masih gabisa di pakai sampai aku uninstall ulang download lagi tetap gabisa kecewa bgt sama tiktok.",2026-02-18 05:34:17,Technical Bug/Crash
Andika Pertama,5,aplikasi yang bagus saya bisa menemukan berita apa saja disini aku kasih bintang lima,2026-02-18 05:26:10,Praise & Gratitude
Syafwan AD,5,bagus sekali,2026-02-18 05:24:01,Praise & Gratitude
Frisky ai,1,nge buflg terus perbaiki lah!MASA ADA PAMET SAMA DATA G BISA BUKA TIKTOK 30 MENIT,2026-02-18 05:12:54,General Request/Complaint
Muh. Sirajul Azman,1,aku posting video aku pake lagu yang aku mau. terus pas lama kelamaan lagunya keganti. maksudnya apa yah? mana lagunya jelek banget lagi kurang ajar,2026-02-18 05:07:46,Performance Issue
kartikaput 7890,2,"semenjak di-update malah lemot dan tidak muncul pp,tidak tau mungkin hp yg ngeleg atau gimana, padahal sudah di refresh.",2026-02-18 04:25:42,Performance Issue
Zahra Nurani Fahrizah,5,bagus,2026-02-18 03:24:59,Praise & Gratitude
Muhamad Sutisna,5,bagus tidak menyia menyiakan,2026-02-18 03:13:07,Praise & Gratitude
Oppo 543,5,bagud banget bisa lihat Vidio yang bagus bagus,2026-02-18 03:02:35,Praise & Gratitude
Kaisa Azzahra,5,bagus banget,2026-02-18 02:59:01,Praise & Gratitude
Aman Ridz,5,mantap,2026-02-18 02:56:06,Praise & Gratitude
Khoirul Nazriel,5,dpt uang dr nonton dracin di tiktok,2026-02-18 02:45:19,Monetization/Earning
Added Turmudzi,5,mantap semoga saya bisa melihat info lengkap tentang istri yang baik dan benar dapat digunakan sebagai bahan hiburan 👍👍👍,2026-02-18 02:42:01,Account Issue
alief Prayuda,1,"tiktok skrg baperan, dikit2 pelanggaran, padahal aplikasi ini sdh bagus, tapi jgn terlalu banyak pelanggaran",2026-02-18 02:37:43,Praise & Gratitude
Slamet Haryono,5,belanja lebih mudah di tik-tok sambil scroll video pendek,2026-02-18 02:37:05,Feature Complaint/Request
Ridobae Ridobae,5,bagus,2026-02-18 02:25:40,Praise & Gratitude
Lakas Kasat,1,burik kg bisa isi link bio trus komen ilang,2026-02-18 02:11:46,Feature Complaint/Request
wiratmoko 1986,5,everything is running smoothly after the update,2026-02-18 02:11:45,Feature Complaint/Request
Wahyunurtriawan11,5,mantap,2026-02-18 02:06:45,Praise & Gratitude
Salman Alfarisi,5,bagus sangat menyenangkan,2026-02-18 01:56:57,Praise & Gratitude
Alya Hany lestari,1,"event 100 p, sumpah bikin orang cape",2026-02-18 01:44:08,Monetization/Earning
bintang arkah,1,JARINGAN FULL BUKA APK LAIN BISA LANCAR JAYA. GILIRAN BUKA TIKTOK GABISA. BENCI TIKTOK BOIKOT TIKTOK,2026-02-18 01:43:17,Account Issue
Daffa Rifki,2,"Mohon Maaf Min, Ini Semenjak Saya Update Tiktok Nya Agak Ngeleg Gitu Kalau Di Gunakan, Tolong Di Perbaiki Lagi Min 🙏🏻",2026-02-18 01:38:25,Performance Issue
awan aji,5,bagus,2026-02-18 01:30:18,Praise & Gratitude
Home Garage,1,"ini aplikasi arah suka keluar sendiri,,,padah hp ram besar,,,MENDING DI HAPUS GK USAH DI DOWNLOAD",2026-02-18 01:24:29,Technical Bug/Crash
kinara Fiorenza,1,"jujur di saya ga ada masalah apa apa sama aplikasi dan fitur fiturnya, semua lancar bagus dan ga ada bug selama saya mendownload tiktok, tapi yang bikin saya malas membuka apk ini tuh makin banyak short drama barat yang terlalu seksual dan vulgar, yang saya heran kenapa sering sekali muncul di beranda saya, saya udah laporkan video tersebut sudah saya pilih opsi tidak tertarik tapi semakin lama semakin banyak dan semakin vulgar lagi video yang muncul, tolong dong di perhatikan kebijakannya",2026-02-18 01:17:10,Technical Bug/Crash
Nisa anak mama,1,"fitur bagus bagus di aku gaada, giliran yang jelek aja banyak. kek potongan harga (Rp.100) aneh. pilih kasih ih",2026-02-18 01:13:26,Feature Complaint/Request
KANNN ROEKAN,5,bagus,2026-02-18 01:10:35,Praise & Gratitude
Zabrik Bocil epep19,5,kenapa ya pas saya mau posting video kaga bisa di lihat orang lain tolong yak,2026-02-18 01:09:46,General Request/Complaint
Sugandhi Gandhi,4,"kenapa akun saya sering macet dari keluar sendiri, baru-baru ini kenapa akun saya tidak bisa ikut naik Komal dan tidak pernah dapat hadiah dari GB. tolong di perbaiki ya terima kasih",2026-02-18 01:08:32,Technical Bug/Crash
Putri Yasmin,1,"aneh bgt akun gw yang satu tiba-tiba ilang yg satu tiba' rusak, gmna sih tik tok ini",2026-02-18 01:02:30,Account Issue
Asixs Familly,1,"view dikit, banyak sering kena pelanggaran, itu knp, gak ngapa2in kena pl... aneh, di perbaiki lah...",2026-02-18 01:01:32,General Request/Complaint
Raka,1,"knapa setiap kluar apl mau masuk lgi GK bisa,,tolong di perbaiki",2026-02-18 01:00:18,Account Issue
Dua Putra,5,"aplikasi ini sangat berguna dan membantu,tapi kenapa kok sering ada yg kurang jelas di peraturan"" nya,apa saya yg gagal faham ya,tau ah.pokoknya mantap,terima kasih",2026-02-18 00:59:01,Praise & Gratitude
Shadiq,1,TAMBAHKAN FITUR NYIMPEN FOTO DI CHAT TIKTOK MIN,2026-02-18 00:49:11,Feature Complaint/Request
Kota Langsa,3,bagus,2026-02-18 00:48:28,Praise & Gratitude
Oppo Hitam,3,kenapa akun tiktok saya sekarang tidak bisa menggunakan tiktok shop padahal saya tidak pernah melanggar aturan dan alasan nya karena usia padahal usia saya udah lewat dari 18 tahun,2026-02-18 00:44:25,Account Issue
angel lika,5,TOLONG DONG ADAIN PIN CHAT LAGI😭🙏🏻,2026-02-18 00:38:54,Performance Issue
Fitri Ramadhani,2,bagus sih cuman sekarang ada kesalahan gatau kenapa padahal wifinya ga ngelag gabisa nengok komen dan video private,2026-02-18 00:34:01,Performance Issue
Dava ramdani Ramdani ar,5,pokonyh mantap,2026-02-18 00:29:36,Praise & Gratitude
rizal Umami,5,Sangat bagus dan bermanfaat,2026-02-18 00:17:44,Praise & Gratitude
"zut,me",3,"kasih filtur privasi setatus yang bisa memilih 1 akun atau lebih, jgn filtur privasi yang hanya teman yang bisa melihat",2026-02-18 00:17:37,Account Issue
Agus Madiun,5,"ni aplikasi bagus tapi tolong lah kalau nge kompres video jangan terlalu banyak dari yang awalnya hd 2K 60fps jadi 480p 30fps itu udah parah banget buriknya, alhasil jadi gak mood mau bikin konten lagi",2026-02-18 00:14:32,Performance Issue
Teguh Perkasa,3,mohon diperbaiki karna sering keluar tiba2 ketika sedang live🙏🙏🙏,2026-02-18 00:14:11,General Request/Complaint
Ulul Faris,5,bagus,2026-02-18 00:05:40,Praise & Gratitude
Yus Yos,1,setelah update ko stiap nonton vidio selalu ngelag. dikira jaringan wifi gua gangguan. tpi baca komen dll bisa. vidionya aja ngelag. soalnya bukan skali 2x. stiap lgi scroll dan ada vidio yg kita tonton kadang ngelag !,2026-02-18 00:05:39,Performance Issue
Hoiril Sahbilly Siregar,5,baguss buatt hiburan sayaaa biarr engakk bosenn dann buatt galau jugaa bisaaa,2026-02-18 00:00:56,Praise & Gratitude
